StorviltID;KategoriSkutt;SkuttDato;SettOgSkuttUid;Merkelappnummer;Art;Slaktevekt;KontrollertVekt;Jaktfeltid
57809;12;25/09/2024 11:00:00;;;1;58,0;;5622J0002
57810;31;27/09/2024 00:00:00;1d5b33a5-d431-432e-8a46-2e0105ff490c;;1;265,0;;5622J0002
57811;12;28/09/2024 00:00:00;;;1;71,0;;5622J0003
57812;31;25/09/2024 00:00:00;10916044-B2A1-45A6-BDE0-D6EF720E1094;;1;161,0;;5622J0003
57814;31;28/09/2024 00:00:00;98b54d89-62f1-4b8b-b3ab-f52da1406174;;1;279,5;;5622J0005
57817;21;27/09/2024 00:00:00;ba1ca7ab-4f52-451e-b2c3-99e786b60672;;1;170,0;165,0;5622J0006
57827;11;28/09/2024 00:00:00;0e8d1f9a-2296-4f9e-b80f-aff85decdcbe;;1;49,8;52,0;5622J0027
57828;31;29/09/2024 00:00:00;fb06184d-65cc-47fb-a15e-1f94e74cd58f;;1;189,0;;5622J0027
57829;12;28/09/2024 12:54:00;;;1;63,0;;5622J0028
57833;22;25/09/2024 00:00:00;CDEDB693-17E7-4477-B6EE-C65C810653F6;;1;108,0;;5622J0033
57839;11;30/09/2024 16:24:00;5DA505F8-B761-4ABD-87E6-5A3C59FCDB6F;;1;72,0;;5622J0023
57842;31;27/09/2024 00:00:00;0805f93d-0bcd-4d98-9ef8-b263813af73a;;1;;;5622J0029
57848;32;25/09/2024 00:00:00;719552f2-a749-44f4-b01d-b1ea0b9e7b6b;;1;;;5622J0011
57852;31;27/09/2024 16:47:00;B2983511-B6BB-44FD-A188-300DFE8FDA8D;;1;;;5622J0025
57855;12;01/10/2024 00:00:00;;;1;;;5622J0014
57856;32;26/09/2024 14:32:00;;;1;177,0;;5622J0014
57859;22;27/09/2024 00:00:00;522770f5-c788-4812-b167-5d9c8048af1c;;1;105,0;;5622J0016
57861;11;25/09/2024 16:18:00;95D3755F-CFAF-4FEC-BBDC-94A8383142F6;100000057861;1;69,0;;5622J0017
57862;31;30/09/2024 10:31:00;E015AF0C-D273-4D92-8CC4-8968A8359C0F;100000057862;1;209,0;;5622J0017
57865;22;29/09/2024 14:05:00;;;1;;;5622J0032
57869;11;27/09/2024 00:00:00;b7aa742e-28b3-439f-8717-0d87ce2e3866;100000057869;1;67,0;;5622J0017
57870;32;26/09/2024 00:00:00;af4d283e-82e0-4885-a9f3-8417a42ca0b7;100000057870;1;175,0;;5622J0017
57871;22;25/09/2024 00:00:00;60D6FF12-15DF-4C2E-9764-F347C3C78D7C;;1;132,0;;5622J0036
57872;21;26/09/2024 08:33:00;CEAFDF17-FB80-4E17-A4D5-E55AE41D7AD3;;1;108,0;;5622J0036
57876;31;26/09/2024 00:00:00;9522bccc-c8a8-4d8e-906a-be5f996666a9;;1;250,0;;5622J0037
57879;11;27/09/2024 12:32:00;7A8E45D0-16C2-4DE1-9881-37F6A3E7B9FE;;1;52,0;;5622J0035
57880;31;25/09/2024 15:33:00;BE91FFCC-1D4F-4F02-B866-D1261C76216F;;1;286,0;;5622J0035
57883;22;25/09/2024 00:00:00;6f80c1fa-a420-418b-8531-9145ad599f3f;;1;157,0;157,0;5624J0011
57884;31;28/09/2024 00:00:00;c56c6609-9446-484d-812e-35e80c39798e;;1;314,0;;5624J0011
57887;12;26/09/2024 00:00:00;f15b9d91-79de-4ede-83f9-dbdd2e442bb1;;1;75,0;;5624J0003
57888;31;29/09/2024 00:00:00;480b2765-1dac-4425-a601-70534cb1f135;;1;190,0;;5624J0003
57890;31;29/09/2024 00:00:00;7cb01df3-fd76-4076-9c47-2007687f6175;;1;215,0;;5624J0010
57891;11;25/09/2024 08:47:00;CA99986F-F8CB-42FE-A219-CBDDA289773D;;1;60,0;;5624J0004
57895;21;30/09/2024 12:41:00;;;1;138,0;;5624J0015
57896;31;28/09/2024 17:13:00;;;1;191,0;;5624J0015
57897;12;25/09/2024 12:33:00;8981CEFF-5AE7-453E-A56E-47F04742B98B;;1;90,0;;5624J0016
57898;31;25/09/2024 12:36:00;1C0FE07D-00A6-42E3-B7FE-BD8E2064E626;;1;243,0;;5624J0016
57899;21;29/09/2024 00:00:00;;;1;;;5624J0017
57900;31;25/09/2024 00:00:00;;;1;201,0;;5624J0017
57905;22;28/09/2024 00:00:00;3c692ad3-6579-4bfa-9aef-bbb126a23ab9;;1;;;5607J0012
57907;32;25/09/2024 00:00:00;b7d2cb00-f0ff-4171-93f0-f9d44af4a985;100000057907;1;155,0;144,0;5607J0018
57908;32;27/09/2024 00:00:00;0e8a6db4-b27d-4a9e-b62a-5f35302a194d;100000057908;1;165,0;;5607J0018
57909;12;02/10/2024 07:04:00;89953D41-7881-4863-AB1B-F82E3BCDF611;;1;;;5607J0004
57910;32;02/10/2024 07:29:00;EF4DBDE2-9F37-4777-874F-069A0C197EE9;;1;;;5607J0004
57911;32;28/09/2024 00:00:00;9C8A3C10-C4C8-4F89-B94F-498D49568274;;1;174,0;;5607J0013
57912;12;30/09/2024 00:00:00;B9B6EA0D-BA1B-4B60-8AB5-9ADC29298A97;;1;65,0;;5607J0013
57913;21;28/09/2024 00:00:00;52f618a7-d776-46ff-ae1f-0d18abb53271;;1;139,0;;5607J0008
57914;31;28/09/2024 00:00:00;6215d626-ca8d-4305-9c0c-d41647435eef;;1;203,0;;5607J0008
57915;22;26/09/2024 00:00:00;135194d7-f39a-4163-9bb6-336bd6c36c39;;1;144,0;;5607J0009
57916;12;28/09/2024 00:00:00;d4e8e4a2-1ea9-4bd4-a169-b792d1fd1482;100000057916;1;49,0;49,0;5607J0009
57917;21;26/09/2024 17:07:00;;;1;;;5607J0010
57918;11;27/09/2024 10:42:00;;;1;49,0;;5607J0010
57919;22;25/09/2024 08:01:00;67D195C0-1FB1-4F51-A836-3DDFF486A843;;1;;;5607J0011
57920;31;27/09/2024 16:41:00;AB094669-3BBB-4DAB-A9B8-12DFE324409B;;1;;;5607J0011
57921;12;01/10/2024 15:28:00;;;1;;;5607J0017
57922;31;30/09/2024 07:44:00;;;1;;;5607J0017
57924;31;29/09/2024 00:00:00;61a768ea-d763-4181-be61-9e19d382568c;;1;;;5636J0001
57927;11;28/09/2024 00:00:00;7645ce90-40cb-42fc-9ec4-ddc77f3825dd;;1;;;5636J0003
57928;11;30/09/2024 00:00:00;11ef10ad-fb32-4f6e-86da-6da1f6ffdf0a;;1;;;5636J0003
57929;22;29/09/2024 00:00:00;79cc4fe9-553e-4e72-9346-f90aed731c72;;1;158,0;;5636J0004
57930;32;30/09/2024 00:00:00;4fa19322-4681-4e16-867e-90f7726a7396;100000057929;1;167,0;;5636J0004
57931;11;25/09/2024 00:00:00;5d609275-ffa9-43d1-b9e9-bdc51e36c30e;;1;48,0;;5636J0005
57935;21;25/09/2024 15:27:00;;;1;124,0;;5636J0007
57936;11;30/09/2024 17:20:00;;;1;76,0;;5636J0007
57937;11;30/09/2024 14:34:00;778C33A8-ED70-481C-8214-E0BCEA43C552;;1;;;5636J0008
57939;12;27/09/2024 00:00:00;a9a39b83-d09b-44b9-968a-b685bc55eb96;;1;42,0;;5636J0009
57940;12;27/09/2024 00:00:00;d8d37a6a-0281-46bf-b240-1da28fbb5823;;1;46,0;;5636J0009
57941;21;26/09/2024 13:43:00;0281ABD8-D568-4E0E-8F2A-3E8F68D283C6;;1;;;5636J0023
57942;31;28/09/2024 09:29:00;851177AB-E278-4443-89E8-7FE39775ACC0;;1;;;5636J0023
57943;22;30/09/2024 14:10:00;;;1;115,0;;5636J0025
57945;31;26/09/2024 00:00:00;;;1;187,0;;5636J0015
57947;21;28/09/2024 00:00:00;b3e9557b-48db-49ce-af65-c971d65f3a7a;;1;;;5636J0016
57948;12;26/09/2024 00:00:00;;;1;74,0;;5636J0016
57949;12;30/09/2024 00:00:00;a57cac45-a036-4717-b851-8377103cfea2;;1;58,0;;5636J0027
57952;31;27/09/2024 11:37:00;7C97F2DE-232E-48E8-9A1A-113379CA10A3;;1;230,0;;5636J0019
57953;12;25/09/2024 00:00:00;324d3082-d685-4c79-9164-f86c69dcd08d;;1;49,2;;5636J0020
57954;31;27/09/2024 00:00:00;a1cab12c-9e01-4c54-883b-f16a7a720624;;1;197,0;;5636J0020
57955;21;25/09/2024 00:00:00;184fc8b2-1154-434e-89dc-b261694ecbe0;;1;136,0;;5636J0021
57956;21;25/09/2024 00:00:00;569a81ab-d987-42bd-b85d-cf1b376ebf6c;;1;135,0;;5636J0021
57957;21;25/09/2024 16:28:00;4A85ACBF-9376-43DE-B094-631AC545AA4D;;1;131,0;;5636J0028
57958;21;27/09/2024 08:40:00;CAC9B582-1C13-4372-8EC4-FDF0E693B41B;;1;82,0;;5636J0028
57960;31;01/10/2024 19:23:00;;;1;;;5636J0029
57961;12;29/09/2024 00:00:00;4d08d829-a4ec-4697-8353-0f0e52bc6be1;;1;45,0;;5628J0001
57962;22;30/09/2024 00:00:00;93b73f80-880e-4136-a194-41c11cc452a9;;1;;;5628J0001
57963;21;01/10/2024 15:42:00;14147F7B-A884-4706-8CD2-CC89FD7FB706;;1;;;5628J0001
57964;32;29/09/2024 00:00:00;36bab39c-70b9-4d0e-92e4-8f74aec68623;;1;212,0;;5628J0001
57969;11;01/10/2024 00:00:00;4368be5c-8280-4bb1-9dfe-7a78fdc1540c;;1;;;5628J0003
57970;22;26/09/2024 00:00:00;66069596-a7f2-41a6-aa09-1ece6d9b08be;;1;;;5628J0003
57971;31;27/09/2024 13:14:00;FAC97640-EF55-4BA3-8B1F-2374EE563B20;100000057971;1;;;5628J0003
57980;11;29/09/2024 14:00:00;A41B4913-A962-459E-B38A-74D088978CB3;;1;73,0;;5628J0006
57981;22;27/09/2024 15:37:00;1F8E72D2-05A1-4C3A-A7B4-AE1479BD7711;;1;;;5628J0006
57982;31;25/09/2024 18:27:00;48E3BAA8-CDFE-4F96-8787-B7C2271EC27E;;1;;;5628J0006
57983;11;29/09/2024 14:01:00;9D5A8769-CD27-4548-956A-FDC3E542CE2D;;1;72,0;;5628J0006
57984;22;29/09/2024 10:29:00;;;1;;;5628J0007
57985;22;29/09/2024 10:29:00;;;1;;;5628J0007
57986;31;27/09/2024 00:00:00;;;1;;;5628J0007
57990;11;27/09/2024 00:00:00;c175e468-db08-4267-8edc-c648c3d78d51;;1;53,0;;5628J0009
57991;21;28/09/2024 00:00:00;59454bf9-50f5-4a44-84ad-cf3b0b0ad34d;;1;137,0;;5628J0009
57992;21;28/09/2024 00:00:00;3fe83d5f-4874-4924-8332-7cab4025bfe0;;1;139,0;;5628J0009
57993;31;29/09/2024 00:00:00;4c82ecd4-5302-4c33-a1b7-00e4a844934e;;1;226,0;;5628J0009
57999;31;27/09/2024 00:00:00;35a32f70-ad4f-43e4-bda8-03ce0879a533;;1;150,0;;5628J0011
58003;12;28/09/2024 18:20:00;B949F74E-31A3-4C46-A4A7-178F2C1B7FCA;;1;80,0;;5628J0013
58004;21;25/09/2024 18:47:00;B5E05FDA-AA52-46B7-A990-BCCA33BCB04F;;1;134,0;;5628J0013
58005;31;30/09/2024 00:00:00;fe650e7c-7104-4036-af0b-fa25e5f69d3a;;1;217,0;;5628J0013
58006;22;26/09/2024 14:09:00;394CBCCB-CE33-4ABD-95CB-B98D0CB0CC9C;;1;116,0;;5628J0013
58010;22;30/09/2024 12:51:00;B3F28435-03E8-4915-97A6-AB01248BFDBD;100000058010;1;122,0;;5628J0014
58013;22;26/09/2024 00:00:00;1a9d081d-2c04-4070-a335-b75f80837b23;;1;97,0;;5628J0015
58014;31;28/09/2024 00:00:00;329824a5-7a02-478a-8497-25b0164b9c24;;1;194,0;189,0;5628J0015
58015;11;28/09/2024 00:00:00;0179bdc3-c2b9-495c-9bc7-1e8265b30417;;1;61,0;;5628J0015
